CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Razao_Social;CNPJ;Tipo_Sociedade;Descricao_Atividades;Pais_Sede;UF_Sede;Municipio_Sede;Participacao_Emissor;Possui_Registro_CVM;Codigo_CVM;Razao_Aquisicao_Manutencao;Data_Valor_Mercado;Data_Valor_Contabil;Valor_Mercado;Valor_Contabil
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792939;Oslo XII SA;42618737000112;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792940;Oslo XIII SA;42618733000134;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792941;Oslo XIV SA;42616057000160;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792942;Passos Maia Energética S.A.;08542325000108;;;;;;50.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792943;Santa Fé Energia SA;08944243000190;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792944;Santa Laura S.A.;07328431000120;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792945;Santa Rosa S.A.;04468980000102;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792946;Seabra Energética S.A.;09196341000159;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792947;Seabra Energética S.A.;09196341000159;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792948;Serra da Mangabeira SA;35924128000207;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792949;Statkraft Comercialização de Energia SA;41808680000151;;;;;;100.00000000;;;;;;;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;792950;Ventos de Santa Eugênia Energias Renováveis SA;15674494000167;;;;;;100.00000000;;;;;;;
