CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Feminino;Quantidade_Masculino;Quantidade_Nao_Binario;Quantidade_Outros;Quantidade_Sem_Resposta
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;Nordeste;608;2806;0;0;0
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;Norte;95;279;0;0;0
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;Sudeste;5993;9594;0;0;0
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;Sul;23414;26935;0;0;0
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;Centro-Oeste;0;0;0;0;0
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;Exterior;0;0;0;0;0
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;Nordeste;0;0;0;0;0
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;Norte;0;0;0;0;0
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;Sudeste;0;0;0;0;0
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;Sul;0;0;0;0;0
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;Centro-Oeste;0;0;0;0;0
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;Exterior;1;0;0;0;0
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;Nordeste;1016;472;0;0;0
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;Norte;0;0;0;0;0
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;Sudeste;2249;1007;0;0;0
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;Sul;0;0;0;0;0
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;Centro-Oeste;0;0;0;0;0
